Date,Plant_ID,Product_ID,Product_Category,Units_Produced,Units_Defective,Machine_Downtime(hrs),Labor_Hours,Material_Cost(INR),Production_Cost(INR),Revenue(INR)
2024-01-02,PLANT_B,P013,Automotive,1939,37,1.63,272,73816,377954,468407
2024-01-02,PLANT_C,P007,Textile,804,131,0.35,187,51306,145619,227221
2024-01-02,PLANT_B,P009,Textile,926,125,0.37,194,69477,211585,361157
2024-01-04,PLANT_A,P013,Chemicals,1885,143,1.11,267,160317,365406,448059
2024-01-05,PLANT_A,P014,Textile,1760,96,1.7,53,194228,379518,476295
2024-01-06,PLANT_B,P019,Chemicals,509,108,3.16,124,151121,324137,372944
2024-01-09,PLANT_B,P019,Chemicals,1341,45,3.44,231,79084,306903,379635
2024-01-09,PLANT_C,P005,Electronics,1048,124,5.85,167,57812,111064,247269
2024-01-13,PLANT_A,P006,Automotive,565,12,6.44,258,183872,374370,516357
2024-01-14,PLANT_C,P010,Textile,615,139,4.16,281,143783,334473,414479
2024-01-15,PLANT_A,P010,Textile,977,123,5.32,208,176479,332892,422675
2024-01-15,PLANT_A,P012,Textile,1194,13,4.48,255,158946,269831,385015
2024-01-17,PLANT_C,P017,Chemicals,1386,49,3.21,186,135947,369045,480464
2024-01-18,PLANT_B,P009,Chemicals,1186,59,2.29,288,126709,199214,316351
2024-01-21,PLANT_C,P017,Electronics,1213,105,0.42,85,199865,274442,385898
2024-01-21,PLANT_A,P003,Textile,1459,145,7.25,274,55939,226270,280794
2024-01-22,PLANT_B,P003,Chemicals,1843,148,2.01,175,62867,332076,419460
2024-01-22,PLANT_B,P011,Textile,1143,18,7.87,57,162935,214091,360369
2024-01-27,PLANT_B,P004,Electronics,658,44,6.1,153,108671,132954,162297
2024-01-28,PLANT_C,P006,Automotive,769,140,3.75,170,83276,253939,303462
2024-01-28,PLANT_A,P005,Automotive,1304,19,1.14,130,69991,273311,297878
2024-01-29,PLANT_B,P007,Textile,1390,132,7.29,263,192228,202638,300601
2024-02-02,PLANT_B,P006,Automotive,1455,129,2.82,59,57415,345144,488946
2024-02-02,PLANT_A,P014,Chemicals,790,149,7.2,184,145667,336500,467523
2024-02-04,PLANT_B,P003,Textile,1431,136,6.85,159,125715,135931,279347
2024-02-04,PLANT_A,P007,Automotive,1058,68,3.55,53,132409,181972,215671
2024-02-04,PLANT_A,P019,Automotive,816,120,3.98,58,134289,137158,202555
2024-02-05,PLANT_A,P019,Electronics,527,64,6.03,87,192180,284514,416600
2024-02-06,PLANT_C,P005,Automotive,1467,148,6.76,66,101707,285639,416885
2024-02-06,PLANT_C,P004,Electronics,1083,45,1.82,71,120843,220062,299612
2024-02-07,PLANT_B,P013,Textile,849,145,3.12,266,169729,393624,451576
2024-02-08,PLANT_A,P001,Textile,993,43,2.84,276,78230,188151,213605
2024-02-10,PLANT_A,P001,Electronics,903,77,1.92,80,112433,371421,404676
2024-02-10,PLANT_B,P020,Textile,1184,32,1.3,185,96002,102763,179652
2024-02-11,PLANT_A,P008,Textile,1439,51,7.26,83,78884,394965,502199
2024-02-13,PLANT_B,P003,Textile,882,54,1.26,273,158125,263202,306868
2024-02-13,PLANT_B,P005,Textile,1343,104,4.79,156,63050,391207,477370
2024-02-14,PLANT_A,P015,Textile,1826,111,5.63,170,188335,258598,283363
2024-02-15,PLANT_B,P019,Electronics,1549,117,4.97,261,193927,256877,388239
2024-02-17,PLANT_B,P003,Automotive,651,59,6.73,277,198036,252711,334287
2024-02-18,PLANT_B,P013,Automotive,640,137,3.91,153,58024,281890,415387
2024-02-18,PLANT_C,P014,Chemicals,665,43,0.92,243,123402,105520,253886
2024-02-19,PLANT_A,P006,Chemicals,1596,149,3.04,177,116732,158692,203760
2024-02-20,PLANT_C,P013,Electronics,1087,115,5.35,57,178389,199977,239669
2024-02-20,PLANT_B,P011,Automotive,1874,112,4.33,94,136346,385713,527732
2024-02-21,PLANT_C,P015,Textile,1052,85,3.04,98,152842,210986,243378
2024-02-21,PLANT_A,P008,Textile,1192,7,3.08,245,108002,186724,214071
2024-02-22,PLANT_C,P019,Electronics,1531,117,0.06,276,197271,119610,262849
2024-02-22,PLANT_A,P013,Automotive,586,65,7.74,267,84681,366378,484237
2024-02-22,PLANT_B,P018,Textile,1689,29,6.96,177,134388,333612,469804
2024-02-23,PLANT_A,P008,Automotive,1951,104,7.77,97,177426,210130,264158
2024-02-23,PLANT_A,P008,Chemicals,1172,83,4.09,284,81781,299737,336543
2024-02-23,PLANT_B,P016,Automotive,1128,11,7.33,139,184066,347908,462121
2024-02-23,PLANT_A,P005,Electronics,1893,35,2.3,124,105841,211718,257550
2024-02-24,PLANT_A,P006,Automotive,1569,149,3.29,162,53642,355688,454528
2024-02-27,PLANT_B,P017,Automotive,1130,35,3.94,114,63652,203751,312386
2024-02-28,PLANT_A,P002,Textile,1824,57,5.78,201,126221,267527,362322
2024-02-29,PLANT_A,P001,Electronics,1996,4,3.89,149,180356,102775,209219
2024-03-02,PLANT_C,P005,Automotive,1107,4,7.83,103,99976,352217,416136
2024-03-02,PLANT_C,P001,Chemicals,786,81,4.33,113,176374,228585,268939
2024-03-03,PLANT_C,P014,Automotive,874,61,3.58,176,107615,395866,529642
2024-03-03,PLANT_B,P001,Chemicals,1254,135,2.51,194,175555,276348,386307
2024-03-05,PLANT_C,P001,Chemicals,806,109,5.75,175,149003,218094,337649
2024-03-06,PLANT_A,P020,Electronics,800,33,6.98,118,70583,165133,303493
2024-03-08,PLANT_C,P002,Automotive,823,79,0.22,235,94816,395599,439641
2024-03-12,PLANT_B,P004,Automotive,886,6,0.27,130,66241,252297,311816
2024-03-15,PLANT_C,P016,Chemicals,1656,74,4.81,205,173489,249335,342255
2024-03-21,PLANT_C,P008,Textile,1746,72,2.04,189,77798,315250,395902
2024-03-21,PLANT_B,P009,Chemicals,508,148,5.25,223,131050,345017,476222
2024-03-21,PLANT_B,P010,Textile,592,78,3.67,230,194941,343381,433808
2024-03-26,PLANT_C,P008,Automotive,1947,116,6.64,218,145102,137019,271835
2024-03-28,PLANT_C,P006,Electronics,1233,18,5.31,236,94605,161753,245846
2024-03-29,PLANT_B,P020,Chemicals,1300,144,2.64,86,161086,200546,278772
2024-04-01,PLANT_A,P015,Textile,621,114,7.88,50,189227,243279,370507
2024-04-04,PLANT_A,P015,Automotive,1816,73,1.05,248,156133,307609,383487
2024-04-05,PLANT_B,P001,Chemicals,817,132,7.81,128,128077,332654,397378
2024-04-05,PLANT_A,P014,Electronics,1336,142,3.55,284,199696,194715,260642
2024-04-06,PLANT_B,P017,Electronics,944,46,2.07,206,188682,223728,272862
2024-04-06,PLANT_A,P001,Chemicals,1300,38,3.29,136,184837,265159,316576
2024-04-07,PLANT_A,P011,Electronics,802,112,5.62,103,76049,349265,476492
2024-04-08,PLANT_C,P014,Electronics,1640,129,5.41,209,162230,373721,397079
2024-04-08,PLANT_C,P005,Textile,549,4,6.32,155,60751,251014,307357
2024-04-08,PLANT_B,P015,Electronics,1441,111,2.2,73,124816,387623,457043
2024-04-08,PLANT_B,P002,Automotive,863,23,5.17,219,62905,166983,216408
2024-04-08,PLANT_B,P011,Chemicals,1483,50,0.32,192,70025,376223,466646
2024-04-08,PLANT_C,P007,Automotive,1588,110,7.22,62,80949,135903,215896
2024-04-09,PLANT_C,P005,Electronics,954,101,4.48,62,89121,224116,294915
2024-04-10,PLANT_B,P004,Automotive,1829,80,4.05,133,171950,241994,348201
2024-04-10,PLANT_B,P008,Electronics,1894,72,2.23,201,95475,223099,248797
2024-04-12,PLANT_A,P018,Electronics,1192,66,1.11,145,163000,376531,493024
2024-04-12,PLANT_B,P011,Chemicals,1832,77,6.08,122,140270,350819,427649
2024-04-13,PLANT_B,P001,Electronics,1282,131,3.44,141,115618,145066,182435
2024-04-15,PLANT_A,P001,Textile,1215,113,6.34,148,178498,100192,228656
2024-04-16,PLANT_B,P008,Automotive,698,34,3.9,130,158272,397242,511462
2024-04-17,PLANT_C,P001,Textile,1091,112,2.41,114,151968,362347,453435
2024-04-21,PLANT_A,P014,Automotive,1327,128,3.38,263,197265,300753,440032
2024-04-21,PLANT_A,P004,Chemicals,1849,19,1.24,295,131132,145541,233695
2024-04-22,PLANT_A,P005,Chemicals,1708,135,5.07,260,197907,133340,253696
2024-04-22,PLANT_A,P018,Chemicals,803,143,5.64,65,134381,177694,318431
2024-04-22,PLANT_A,P016,Textile,716,111,5.95,70,106408,170014,260218
2024-04-22,PLANT_C,P008,Automotive,1729,4,5.62,73,149303,267679,414182
2024-04-22,PLANT_A,P017,Chemicals,994,35,3.78,91,114887,367885,486499
2024-04-23,PLANT_C,P007,Chemicals,918,13,6.62,265,199524,321094,360188
2024-04-25,PLANT_C,P005,Textile,664,78,7.96,105,94814,202476,246052
2024-04-25,PLANT_B,P015,Textile,1583,89,2.21,74,57352,284844,341810
2024-04-25,PLANT_A,P014,Textile,511,19,2.97,168,143027,249886,335828
2024-04-29,PLANT_A,P004,Electronics,1744,13,3.45,279,175844,373493,406762
2024-04-30,PLANT_B,P008,Chemicals,1727,7,4.66,161,125225,374535,420436
2024-05-01,PLANT_C,P019,Chemicals,877,41,4.26,121,85063,342998,396883
2024-05-02,PLANT_C,P011,Chemicals,810,145,0.7,80,50887,379143,449185
2024-05-03,PLANT_C,P011,Textile,1670,17,5.71,286,131486,343877,447516
2024-05-05,PLANT_C,P004,Chemicals,1391,90,4.13,195,103747,325162,440907
2024-05-07,PLANT_A,P002,Textile,1080,40,3.0,117,63261,169504,247505
2024-05-07,PLANT_B,P017,Electronics,1679,109,2.31,254,112943,131379,272332
2024-05-07,PLANT_C,P018,Textile,1625,87,0.64,284,176155,205686,246570
2024-05-07,PLANT_A,P005,Automotive,1799,129,7.22,221,92291,256255,369919
2024-05-08,PLANT_A,P004,Automotive,811,133,6.87,280,183251,137548,244773
2024-05-08,PLANT_B,P015,Automotive,896,2,5.43,98,72625,295490,422663
2024-05-09,PLANT_C,P019,Electronics,1701,67,1.12,150,198338,168798,301493
2024-05-09,PLANT_B,P001,Electronics,874,1,0.04,255,87327,393052,437052
2024-05-10,PLANT_A,P014,Textile,1315,89,6.39,277,196510,289052,408371
2024-05-10,PLANT_C,P009,Chemicals,1136,79,4.1,79,101001,324655,400460
2024-05-10,PLANT_C,P015,Automotive,1833,76,0.5,79,118431,197406,274821
2024-05-10,PLANT_A,P014,Textile,1020,108,3.35,238,117468,213650,326745
2024-05-13,PLANT_C,P007,Electronics,1533,20,1.94,205,115942,225814,274634
2024-05-14,PLANT_B,P009,Electronics,1015,145,2.78,232,60775,376827,445674
2024-05-14,PLANT_A,P017,Textile,872,146,0.19,92,93764,186694,224713
2024-05-14,PLANT_B,P007,Textile,1172,54,3.67,114,189783,154935,204898
2024-05-15,PLANT_A,P011,Chemicals,1582,140,4.33,88,189347,368620,414574
2024-05-16,PLANT_C,P004,Electronics,1468,76,7.28,206,74618,377052,492134
2024-05-18,PLANT_A,P006,Chemicals,534,148,3.77,282,70700,179698,295625
2024-05-19,PLANT_C,P008,Chemicals,1790,97,5.83,160,144767,126616,195839
2024-05-22,PLANT_C,P008,Automotive,1337,57,6.87,67,128958,212701,310958
2024-05-23,PLANT_A,P006,Chemicals,1313,118,3.37,158,96163,186795,325289
2024-05-23,PLANT_A,P010,Chemicals,642,143,1.14,73,111842,187954,322807
2024-05-26,PLANT_B,P008,Textile,1526,12,2.45,78,52642,155863,251367
2024-05-26,PLANT_B,P013,Automotive,1280,91,0.92,198,145556,356875,452761
2024-05-26,PLANT_C,P012,Chemicals,1899,89,4.64,221,60103,298303,414446
2024-05-27,PLANT_C,P019,Chemicals,1084,28,3.07,77,112875,384583,423399
2024-05-27,PLANT_C,P009,Electronics,1743,45,0.01,85,105633,216545,358233
2024-05-29,PLANT_B,P002,Chemicals,1516,35,2.08,80,117293,159500,291582
2024-05-30,PLANT_A,P019,Textile,1867,107,4.9,96,140265,240148,345826
2024-05-30,PLANT_C,P005,Electronics,1149,143,1.6,96,197026,330097,474952
2024-05-31,PLANT_A,P008,Electronics,618,147,2.54,187,138791,301202,346307
2024-05-31,PLANT_A,P012,Electronics,1759,31,0.42,287,93309,117413,242709
2024-05-31,PLANT_A,P011,Textile,953,53,6.86,237,153061,235203,264478
2024-06-01,PLANT_A,P001,Chemicals,1390,36,5.1,236,171759,250655,358864
2024-06-05,PLANT_B,P017,Textile,808,94,0.1,264,99812,155480,244375
2024-06-06,PLANT_C,P004,Textile,1868,112,7.69,264,123788,106587,176812
2024-06-06,PLANT_B,P011,Textile,1225,112,4.99,105,136664,315286,340599
2024-06-08,PLANT_A,P003,Chemicals,1473,127,5.54,61,68689,268171,353504
2024-06-08,PLANT_B,P006,Automotive,1686,81,0.14,136,183682,193405,233971
2024-06-08,PLANT_B,P015,Chemicals,1582,138,7.14,198,181060,245406,333715
2024-06-08,PLANT_B,P015,Chemicals,1514,143,0.86,173,181184,322123,454792
2024-06-09,PLANT_B,P001,Automotive,1220,129,0.91,187,195051,389662,538353
2024-06-09,PLANT_A,P017,Textile,1492,56,3.87,230,81707,381075,420304
2024-06-09,PLANT_A,P009,Textile,550,2,3.88,104,140009,170744,244566
2024-06-09,PLANT_B,P020,Chemicals,1677,120,2.55,114,149575,292003,441596
2024-06-10,PLANT_A,P019,Chemicals,506,5,5.57,83,180722,140142,218959
2024-06-11,PLANT_A,P012,Automotive,1640,16,1.74,273,188746,221015,255734
2024-06-11,PLANT_A,P010,Automotive,852,11,3.95,70,150772,389341,411302
2024-06-13,PLANT_B,P011,Chemicals,1816,42,6.63,109,68919,123386,200069
2024-06-15,PLANT_C,P012,Electronics,741,54,1.61,86,126253,115534,237141
2024-06-17,PLANT_B,P005,Automotive,1292,3,5.51,202,183498,324021,351587
2024-06-18,PLANT_B,P013,Automotive,1228,2,0.54,84,139080,346356,401910
2024-06-18,PLANT_A,P015,Automotive,1418,51,0.9,221,135774,297530,343707
2024-06-19,PLANT_A,P019,Electronics,1668,119,2.34,145,82920,307352,432651
2024-06-20,PLANT_A,P011,Chemicals,1365,125,2.6,163,135076,382320,490855
2024-06-20,PLANT_B,P010,Textile,1524,132,3.44,232,120305,348724,483502
2024-06-20,PLANT_C,P014,Automotive,1641,2,7.95,168,141829,217473,352000
2024-06-20,PLANT_A,P008,Electronics,1864,12,1.75,285,122827,277718,311729
2024-06-22,PLANT_C,P008,Chemicals,1955,85,7.85,101,150336,191911,252228
2024-06-23,PLANT_C,P011,Chemicals,1611,97,7.57,68,173765,170269,253896
2024-06-24,PLANT_C,P009,Textile,1667,108,0.93,277,104318,154353,184636
2024-06-27,PLANT_A,P008,Textile,501,115,0.89,147,65088,271244,301947
2024-06-28,PLANT_B,P013,Electronics,1190,50,4.73,210,181461,357438,420384
2024-06-29,PLANT_B,P002,Chemicals,1358,148,6.96,285,131982,334196,407195
2024-07-02,PLANT_A,P020,Textile,1716,16,3.18,149,191880,249134,280090
2024-07-05,PLANT_A,P010,Automotive,1707,48,2.89,86,141649,111094,165578
2024-07-05,PLANT_B,P007,Automotive,760,148,5.81,99,83872,310048,397814
2024-07-05,PLANT_A,P018,Textile,1810,148,4.86,211,125277,299298,384304
2024-07-06,PLANT_A,P019,Automotive,1670,24,1.33,83,128532,274514,345771
2024-07-06,PLANT_B,P001,Electronics,1163,99,1.0,234,96218,383006,461225
2024-07-06,PLANT_B,P019,Electronics,601,69,4.35,79,137178,114955,148364
2024-07-07,PLANT_A,P003,Chemicals,848,84,0.5,162,174932,234678,304327
2024-07-08,PLANT_A,P006,Chemicals,1308,66,1.22,283,113232,143954,165005
2024-07-08,PLANT_C,P013,Automotive,1075,96,7.14,192,199359,228216,341542
2024-07-08,PLANT_B,P015,Chemicals,1278,101,3.88,96,146566,350144,406783
2024-07-09,PLANT_C,P004,Textile,1841,1,3.17,237,78482,139082,182465
2024-07-09,PLANT_C,P020,Textile,1690,3,7.02,187,138835,378060,431829
2024-07-10,PLANT_C,P016,Electronics,1083,12,7.78,220,97153,321135,419523
2024-07-10,PLANT_B,P010,Textile,1390,60,5.01,139,73248,154722,277550
2024-07-12,PLANT_B,P002,Electronics,1514,56,4.85,183,166506,387710,536746
2024-07-13,PLANT_B,P018,Textile,993,48,6.05,166,173030,337068,432494
2024-07-16,PLANT_C,P002,Chemicals,1774,86,4.79,235,123155,175403,211663
2024-07-16,PLANT_B,P012,Automotive,1243,119,7.94,233,127789,314127,403624
2024-07-16,PLANT_B,P009,Electronics,1168,31,2.71,248,137051,398326,424224
2024-07-17,PLANT_A,P017,Electronics,1682,1,2.95,103,183060,123559,172991
2024-07-19,PLANT_C,P017,Textile,1231,59,3.6,72,134995,231742,356559
2024-07-19,PLANT_A,P017,Electronics,1524,11,7.26,222,167126,235699,343719
2024-07-20,PLANT_C,P008,Electronics,958,149,6.35,94,156082,136468,247666
2024-07-21,PLANT_C,P003,Automotive,1698,14,7.45,190,69552,139104,193497
2024-07-24,PLANT_A,P010,Textile,1134,29,0.84,83,55722,184607,217840
2024-07-25,PLANT_A,P013,Automotive,1251,102,6.31,168,188286,290121,318123
2024-07-26,PLANT_B,P015,Textile,1470,13,0.67,151,80099,373820,470738
2024-07-26,PLANT_A,P003,Automotive,827,85,3.57,202,112260,353347,382807
2024-07-26,PLANT_C,P020,Electronics,1647,118,7.9,273,100516,272257,321484
2024-07-31,PLANT_B,P002,Automotive,513,6,4.92,193,162492,100717,196018
2024-08-01,PLANT_A,P002,Electronics,834,55,0.56,227,88578,382140,523625
2024-08-02,PLANT_C,P005,Textile,1415,124,2.78,112,134703,162061,283193
2024-08-02,PLANT_A,P006,Electronics,1014,34,7.15,168,116641,389192,489247
2024-08-03,PLANT_B,P012,Automotive,919,9,5.07,101,53832,263244,365347
2024-08-04,PLANT_B,P006,Electronics,1766,19,5.34,160,84540,397016,538024
2024-08-05,PLANT_A,P015,Automotive,628,94,0.29,154,156464,278646,301512
2024-08-05,PLANT_A,P009,Textile,750,66,4.26,222,150755,150940,264272
2024-08-05,PLANT_B,P003,Automotive,1029,3,0.27,254,75711,347572,417820
2024-08-07,PLANT_C,P014,Chemicals,1418,77,2.21,295,177815,301604,342526
2024-08-07,PLANT_C,P002,Textile,1800,106,7.04,182,142708,370741,507713
2024-08-09,PLANT_A,P001,Textile,513,61,3.38,272,102874,389360,425001
2024-08-10,PLANT_B,P009,Chemicals,1749,30,3.09,252,117173,116279,229171
2024-08-11,PLANT_C,P001,Electronics,883,113,1.57,90,192326,130257,227253
2024-08-12,PLANT_B,P014,Chemicals,807,9,4.89,148,136610,152691,189659
2024-08-12,PLANT_A,P015,Textile,1385,9,1.48,100,50174,165901,226854
2024-08-12,PLANT_C,P005,Automotive,1543,128,7.03,268,54173,277826,422032
2024-08-13,PLANT_A,P009,Chemicals,1458,144,6.67,244,166214,343935,440108
2024-08-14,PLANT_A,P019,Chemicals,842,131,2.77,76,126872,372836,500041
2024-08-14,PLANT_B,P001,Textile,1254,148,6.7,102,145742,266782,383839
2024-08-17,PLANT_B,P002,Automotive,1982,62,3.08,297,77586,329602,450308
2024-08-18,PLANT_A,P006,Automotive,1336,91,6.92,154,60014,298237,401343
2024-08-18,PLANT_C,P014,Electronics,1607,148,7.34,142,77128,107485,225747
2024-08-18,PLANT_A,P006,Textile,812,28,4.75,131,75675,225829,350017
2024-08-18,PLANT_C,P020,Electronics,523,30,0.81,263,65523,395809,471564
2024-08-20,PLANT_B,P001,Chemicals,1461,65,5.38,165,90387,331318,473968
2024-08-20,PLANT_A,P012,Textile,1508,27,5.05,150,159903,368788,446323
2024-08-20,PLANT_C,P011,Electronics,1181,34,4.34,77,113610,220606,285832
2024-08-20,PLANT_C,P004,Textile,655,86,4.17,228,100719,281429,376140
2024-08-21,PLANT_B,P011,Automotive,1296,16,4.14,169,76400,352156,374143
2024-08-23,PLANT_A,P015,Automotive,1889,49,4.49,257,75851,263187,318651
2024-08-24,PLANT_A,P011,Textile,1477,72,7.06,237,193674,280882,378998
2024-08-24,PLANT_A,P008,Textile,629,137,2.24,203,118368,343056,381838
2024-08-25,PLANT_C,P014,Chemicals,589,93,2.31,274,60442,217797,350799
2024-08-27,PLANT_B,P020,Chemicals,844,31,3.16,149,96220,334538,396112
2024-08-28,PLANT_C,P001,Electronics,1504,13,4.37,253,184345,106859,188758
2024-08-29,PLANT_A,P003,Textile,1417,135,1.64,185,175681,370784,513322
2024-08-30,PLANT_A,P019,Electronics,1972,51,2.44,57,60728,262781,289292
2024-08-31,PLANT_A,P003,Electronics,1986,43,5.21,281,84064,361798,435998
2024-09-03,PLANT_A,P010,Automotive,1881,123,4.58,62,142036,184425,243444
2024-09-08,PLANT_C,P017,Automotive,1650,133,5.23,211,113811,388107,469520
2024-09-08,PLANT_B,P004,Electronics,621,9,5.08,208,134700,123185,220660
